Timestamp,Matrix Size,Algorithm,Time Taken (s)
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009963512
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009965897
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009253025
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009963512
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009965897
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0009965897
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009973049
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0011389256
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0009970665
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
2024-10-27 15:52:00,3,dijkstra_all_pairs,0.0000000000
2024-10-27 15:52:00,3,floyd_warshall,0.0000000000
